ObjectID,Name,OriginID,DestinationID,DestinationRank,Total_Meters
6029,3291 - 3660,3291,3660,23,1420.599784695325800
6030,3291 - 3798,3291,3798,24,1431.855437496839200
6031,3291 - 4052,3291,4052,25,1443.759516335419000
6032,3291 - 3455,3291,3455,26,1469.415475994221200
6033,3291 - 2499,3291,2499,27,1506.191783372019200
6034,3291 - 4060,3291,4060,28,1544.243807650391300
6035,3291 - 2537,3291,2537,29,1565.540510200542900
6036,3291 - 3797,3291,3797,30,1629.678142312395500
6037,3291 - 2563,3291,2563,31,1635.049788266880600
6038,3291 - 3685,3291,3685,32,1653.566226776757300
6039,3291 - 3621,3291,3621,33,1673.395945836480000
6040,3291 - 3799,3291,3799,34,1732.297201170501500
6041,3291 - 4055,3291,4055,35,1763.407567210756000
6042,3291 - 2547,3291,2547,36,1781.021070795141000
6043,3291 - 3513,3291,3513,37,1913.440407217043200
6044,3291 - 2552,3291,2552,38,1928.683038594743000
6045,3291 - 2501,3291,2501,39,1934.318548852375900
6046,3291 - 2542,3291,2542,40,1970.015951990848000
6047,3291 - 2548,3291,2548,41,1982.292113711917200
6048,3291 - 4054,3291,4054,42,1988.108549084904300
6049,3291 - 4057,3291,4057,43,2066.383147877682400
6050,3291 - 2502,3291,2502,44,2094.900836508190000
6051,3291 - 3794,3291,3794,45,2164.999143388364700
6052,3291 - 2707,3291,2707,46,2165.695016806893400
6053,3291 - 2549,3291,2549,47,2182.995486658690900
6054,3291 - 3792,3291,3792,48,2289.842714491967900
6055,3291 - 4048,3291,4048,49,2324.729973402324000
6056,3291 - 2566,3291,2566,50,2330.898336038613300
6057,3291 - 3841,3291,3841,51,2391.380280070633500
6058,3291 - 3795,3291,3795,52,2474.950540692306300
6059,3291 - 3292,3291,3292,53,2503.796523566081800
6060,3291 - 3687,3291,3687,54,2541.488591142649100
6061,3291 - 2567,3291,2567,55,2599.899102061054200
6062,3291 - 2570,3291,2570,56,2637.764951018045800
6063,3291 - 3838,3291,3838,57,2660.483137670939000
6064,3291 - 2822,3291,2822,58,2678.241050470695900
6065,3291 - 2575,3291,2575,59,2757.590775276875300
6066,3291 - 2503,3291,2503,60,2788.660695892534500
6067,3291 - 4059,3291,4059,61,2927.383602354372200
6068,3291 - 4050,3291,4050,62,3048.308265973836600
6069,3291 - 3793,3291,3793,63,3049.913230406683400
6070,3291 - 2504,3291,2504,64,3052.608513249017100
6071,3291 - 2544,3291,2544,65,3113.408663119081200
6072,3291 - 2711,3291,2711,66,3384.781956962832700
6073,3291 - 3293,3291,3293,67,3518.342575650764500
6074,3291 - 3686,3291,3686,68,3671.222064973344900
6075,3291 - 2823,3291,2823,69,3751.505908495426400
6076,3291 - 3790,3291,3790,70,3898.924224475016700
6077,3291 - 3377,3291,3377,71,4025.241671602346700
6078,3291 - 2574,3291,2574,72,4155.385251545893900
6079,3291 - 4061,3291,4061,73,4426.541416167321600
6080,3291 - 2572,3291,2572,74,4515.679044956595100
6081,3291 - 4058,3291,4058,75,4808.790028512057700
6082,3291 - 4062,3291,4062,76,5064.159244813244200
6083,3291 - 3791,3291,3791,77,5565.717762604977900
6084,4058 - 4058,4058,4058,1,0.000000000000000
6085,4058 - 3686,4058,3686,2,1137.567963538713200
6086,4058 - 2574,4058,2574,3,1349.770735919134300
6087,4058 - 2711,4058,2711,4,1503.573541444726100
6088,4058 - 2572,4058,2572,5,1710.064529329834800
6089,4058 - 2575,4058,2575,6,2141.134472550115300
6090,4058 - 2567,4058,2567,7,2315.757027644994200
6091,4058 - 2566,4058,2566,8,2546.875891241244100
6092,4058 - 2549,4058,2549,9,2773.786697535367200
6093,4058 - 2502,4058,2502,10,2793.454661899368600
6094,4058 - 2501,4058,2501,11,2950.940595573416000
6095,4058 - 2552,4058,2552,12,2951.361475088014700
6096,4058 - 3513,4058,3513,13,3114.698398428983600
6097,4058 - 3685,4058,3685,14,3163.287832731301000
6098,4058 - 2537,4058,2537,15,3279.701790624515100
6099,4058 - 4048,4058,4048,16,3293.629166941364500
6100,4058 - 3621,4058,3621,17,3350.594252350178100
6101,4058 - 2499,4058,2499,18,3450.590400822038600
6102,4058 - 3687,4058,3687,19,3510.387784681690400
6103,4058 - 3455,4058,3455,20,3550.159868242436500
6104,4058 - 3684,4058,3684,21,3570.893486634305600
6105,4058 - 2570,4058,2570,22,3606.664144557086300
6106,4058 - 3294,4058,3294,23,3706.200904200446500
6107,4058 - 2494,4058,2494,24,3720.075919579770900
6108,4058 - 2503,4058,2503,25,3757.559889431574900
6109,4058 - 2504,4058,2504,26,3852.387206478040800
6110,4058 - 4050,4058,4050,27,3898.298424388920900
6111,4058 - 2495,4058,2495,28,3901.315666062204900
6112,4058 - 4047,4058,4047,29,4027.644524558188600
6113,4058 - 3619,4058,3619,30,4058.819471856214000
6114,4058 - 2539,4058,2539,31,4112.355221506858500
6115,4058 - 3390,4058,3390,32,4162.416034010012500
6116,4058 - 4060,4058,4060,33,4275.966036717949500
6117,4058 - 2496,4058,2496,34,4286.447882706019300
6118,4058 - 3635,4058,3635,35,4326.603526011010200
6119,4058 - 2498,4058,2498,36,4327.868062902699400
6120,4058 - 2563,4058,2563,37,4366.772017334438700
6121,4058 - 2565,4058,2565,38,4424.778718826165500
6122,4058 - 2562,4058,2562,39,4486.073783920987800
6123,4058 - 2497,4058,2497,40,4529.454365218068200
6124,4058 - 1001,4058,1001,41,4626.153617508981400
6125,4058 - 3790,4058,3790,42,4633.143019259357100
6126,4058 - 3377,4058,3377,43,4759.460466386685800
6127,4058 - 3291,4058,3291,44,4808.790028512059500
6128,4058 - 2571,4058,2571,45,4848.955777699287000
6129,4058 - 2540,4058,2540,46,4859.306610120184800
6130,4058 - 2707,4058,2707,47,4897.417245874451500
6131,4058 - 2561,4058,2561,48,4947.852668705920200
6132,4058 - 4051,4058,4051,49,5012.399922610200500
6133,4058 - 3792,4058,3792,50,5019.695784742909400
6134,4058 - 3660,4058,3660,51,5212.216015607682500
6135,4058 - 2547,4058,2547,52,5219.814949271181800
6136,4058 - 3841,4058,3841,53,5273.933199495973000
6137,4058 - 2548,4058,2548,54,5416.119791044957300
6138,4058 - 3797,4058,3797,55,5439.654945869962800
6139,4058 - 2542,4058,2542,56,5555.367676873803200
6140,4058 - 2569,4058,2569,57,5600.813020363470100
6141,4058 - 4059,4058,4059,58,5669.047718642929800
6142,4058 - 3798,4058,3798,59,5688.446587350418700
6143,4058 - 3838,4058,3838,60,5791.104375305878400
